loc x,lox y,split,wid,vddiddq,power,freq,psro,pw40,ps40,ivd0,ivd1,ivd2,ivd3,ivio,ivsb,ivsr,frq00,frq0,frq6,frq9,frq12,frq15,frq18,frq21,frq24,frq27,frq30,frq33,frq36,frw39,frq57,frq58,tstclass
11,4,3,2,2.915402651,18.4545002,1.049948728,9.524274598,34.16353989,10.02232151,1.601100206,1.423476338,1.633924723,1.530164003,0.308858901,0.017356398,6.438853741,9.690873213,9.391707891,9.330244524,10.01282044,9.53601878,10.44600583,9.53601878,9.24531534,9.462852432,9.748137785,9.178260413,9.502198964,8.974299021,9.192485663,15.88946549,28.60594918,2
11,4,5,9,9.184854507,52.65998077,1.264866767,7.905971017,118.5528565,8.385881399,8.00414753,6.261458397,7.692613602,6.837665558,0.831289649,0.031990532,7.876185417,8.050508484,7.644802594,7.739378034,8.1659133,7.905206644,8.431847945,7.859467701,7.88571073,7.898375841,8.148443627,7.676069657,7.898375841,7.588136029,7.734061924,12.45782877,21.29803124,1
5,2,3,4,5.952056408,39.90386963,1.174504313,8.51423012,88.31187439,8.99972024,4.414913654,3.776267529,3.620831013,3.207109928,0.557749331,0.027081017,12.90702343,8.74285314,8.41340561,8.431847945,8.549490715,8.521548992,8.875679967,8.466762907,8.466762907,8.556834729,8.718425747,8.326669104,8.41340561,8.207575931,8.41340561,14.36325746,24.72615972,2
9,9,5,9,12.54725933,73.05011749,1.29620257,7.714843521,160.1910553,8.175223519,13.59574032,9.458748817,9.598323822,8.418686867,1.11500299,0.048158892,10.13895321,7.891877573,7.285259628,7.676069657,7.809150318,7.930946438,8.387702394,7.556845134,7.633836731,7.702169143,8.017446845,7.333737543,7.588136029,7.490478552,7.660404535,11.84371163,21.16056612,3
9,9,3,7,3.784056664,25.57239914,1.110629082,9.003906128,49.69087982,9.481027075,2.620233774,2.117732287,2.148762941,1.995718241,0.378858864,0.019968512,8.928521156,9.140255656,8.54272254,8.977098958,9.207190871,9.352819149,9.768604144,8.900284158,8.863732575,9.037555302,9.333495598,8.556834729,8.802479258,8.613178181,8.900284158,14.92900199,27.06356116,2
12,5,5,5,5.228847027,31.46498871,1.210606289,8.260323849,67.34346008,8.782087037,4.29897356,3.869485378,3.997164249,3.879870892,0.508001149,0.022250177,5.941529274,8.300782994,7.984655667,8.207575931,8.344016294,8.266693826,8.706799804,8.224082364,8.232882877,8.41340561,8.521548992,8.043424401,8.181907077,8.010255797,8.173730066,13.53178058,21.47225024,1
7,5,5,5,5.848319054,35.05485916,1.167426664,8.565848551,74.63809204,9.098772083,4.454976559,4.181239605,4.655039311,4.6057868,0.565223754,0.022989752,6.583283424,8.802479258,8.556834729,8.521548992,8.706799804,8.567118897,9.037555302,8.531935691,8.431847945,8.592414204,8.838927755,8.344016294,8.378567131,8.1659133,8.387702394,13.08072149,25.11457939,1
3,7,3,2,2.544238567,15.66182327,0.986376726,10.13811431,25.76709557,10.65708719,1.325065732,1.300486684,1.259636998,1.228637815,0.276034385,0.016168358,5.509845734,10.48944031,9.849839984,10.36020652,10.03441409,10.39819631,10.68034032,9.930153595,10.05428078,10.13956467,10.40292938,9.809054689,9.809054689,9.88920425,9.971187183,16.97310512,39.44536491,2
4,6,5,3,8.156027794,48.05298615,1.272049725,7.861327908,,,7.246634483,6.427941322,6.393102646,5.777020931,0.761746049,0.032273773,7.759490013,8.091167416,7.734061924,7.930946438,7.891877573,7.951561884,8.422434462,7.776947172,7.776947172,7.891877573,8.124671325,7.5926596,7.628814913,7.561478441,7.702169143,12.27286117,22.06870096,1
9,5,5,3,4.814771652,28.40882111,1.172774823,8.526786048,,,3.759304524,3.166008472,3.696424961,3.178596973,0.488347352,0.021439793,5.856368065,8.820665542,8.441650493,8.397220626,8.754378214,8.62417231,9.24531534,8.431847945,8.387702394,8.521548992,8.875679967,8.124671325,8.292190316,8.124671325,8.257995845,13.08072149,25.02479299,1
5,2,5,1,14.575881,83.57984161,1.32765329,7.532086933,205.0780945,8.073381373,13.73286057,11.17421532,11.67936039,11.03756714,1.297103524,0.048693903,10.83600998,7.776947172,7.367533527,7.451400819,7.588136029,7.490478552,7.905206644,7.451400819,7.447615474,7.561478441,7.734061924,7.352404893,7.486220454,7.318678186,7.486220454,11.59814968,19.54212314,3
10,5,5,1,4.775070667,28.2588234,1.170476784,8.543526997,52.90639496,9.434989248,3.855606556,2.97091794,3.868006229,3.073545933,0.47881943,0.020613672,5.809633255,8.718425747,8.431847945,8.353255751,8.913250767,8.74285314,9.423830676,8.326847564,8.344016294,8.531935691,8.851111247,8.091167416,8.387702394,8.091167416,8.326669104,13.24122013,23.8796124,1
8,6,5,9,6.12776041,34.98570252,1.160997753,8.613281095,72.57631683,9.086217022,5.390616894,3.851483822,4.705173016,3.545960903,0.5939098,0.02552319,6.607429504,8.778709727,8.378567131,8.588899874,8.766328932,8.876796173,9.391707891,8.466762907,8.41340561,8.556834729,8.838927755,8.215646531,8.466762907,8.292190316,8.466762907,13.02415191,25.44187265,1
3,9,5,9,12.53571701,75.96511078,1.301143622,7.685546644,165.913559,8.172433216,13.40640926,11.81770802,10.37600994,8.187750816,1.073224902,0.04656959,10.1323204,7.930946438,7.312204303,7.734061924,7.517219274,7.88571073,8.124671325,7.556845134,7.676069657,7.766220179,7.930946438,7.416903742,7.525810844,7.517219274,7.702169143,12.08690816,20.40641891,3
